iter	MultiClass
0	1.618938728
1	1.49217425422	1.39345621
33	1.3085125134	1.237864073
55	1.1789981496	1.122917261
7	1.07713435
8	1.035364
9	0.99	1.00295210	010	0.970039111	011	0.938673412	012	0.910471213	013	0.884906514	014	0.862291515	015	0.8411816	0.816	0.8217417	0.717	0.8045118	0.718	0.7866719	0.19	0.7695869013
20	0.7539343587
21	0.7404477445
22	0.727923	0.7123	0.716024	0.7024	0.704625	0.6825	0.694326	0.6826	0.685927	0.6727	0.677528	0.6629524773
29	0.6556090983
30	0.6430	0.653631	0.6402744616
32	0.633551932
33	0.6272036357
34	0.6208687163
35	0.635	0.6223836	0.636	0.6167637	0.637	0.6107038	0.638	0.6062139	0.539	0.6016940	0.540	0.5976041	0.541	0.5930342	0.542	0.5891543	0.543	0.585444	0.5744	0.582245	0.5745	0.579046	0.5746	0.575547	0.5647	0.5728443275
48	0.5697882688
49	0.567050	0.5550	0.564551	0.5551	0.5619204695
52	0.5591384498
53	0.5567506762
54	0.5545636274
55	0.5522095049
56	0.5501002769
57	0.5481455605
58	0.5460947469
59	0.5442300741
60	0.5421345282
61	0.5404129971
62	0.5388997824
63	0.5372649563
64	0.5359123556
65	0.5342818464
66	0.5327405865
67	0.530892403
68	0.5295779928
69	0.5284462762
70	0.5271534383
71	0.5259019171
72	0.5246024166
73	0.5238395232
74	0.5227587929
75	0.5214558878
76	0.520248602
77	0.5191635507
78	0.5182698426
79	0.5174175024
80	0.5165290743
81	0.5152353552
82	0.5145783495
83	0.5139889217
84	0.5130631279
85	0.5121949021
86	0.5111474161
87	0.5103213813
88	0.5095546153
89	0.5088889787
90	0.5084770236
91	0.5074780595
92	0.506561544
93	0.5057266403
94	0.5046202427
95	0.5039602624996	0.503434428297	0.5027799375
98	0.5019272099	99	0.5014068637
100	0.5007412224
101	0.5000904472
102	0.499551108
103	0.4991096141
104	0.4987315327
105	0.4981139896
106	0.4974351674
107	0.4968766739
108	0.4963931263
109	0.4957593373
110	0.4951100627
111	0.4947642873
112	0.4941278438
113	0.4938093118
114	0.4933654177
115	0.493020927
116	0.4926877715
117	0.4923553205
118	0.4919395327
119	0.4915414014
120	0.49113864121121	0.4906167122	122	0.4902932123	123	0.4899638124	124	0.4895278125	125	0.4890355126	126	0.4883568127	127	0.4880426128	128	0.4876921129129	0.48730185130130	0.486845131	0131	0.486524132	0.4823660507
133	0133	0.485768134	0.4816213113
135	0.4814018912
136	0.4810557981
137	0.4807172516
138	0.4804563258
139	0.4799627286
140	0.4794684569
141	0.4791098006
142	0.4787852404
143	0.4785882484
144	0.4781330112
145	0.4777966636
146	0.4775242018
14147	0.48111479614148	0.48078767214149	0.48062328615150	0.4803054977
151	0.4799507888
152	0.4796135012
153	0.4793235543
154	0.4791019201
155	0.4787223423
156	0.4785258527
157	0.4783426409
158	0.4780209194
159	0.4775970959
160	0.4773910433
161	0.4771500959
162	0.4769377911
163	0.4767115673
164	0.4740830681
165	0.4762539166166	0.47348460167167	0.473314041681168	0.475498016169	0.47294862170170	0.47266581171171	0.4724524506
172	0.4722428517317173	0.47431814017174	0.4741402171
175	0.4738214974
176	0.4736080254
177	0.4733114987
178	0.4731721196
179	0.472991662
180	0.4726888556
181	0.4724438816
182	0.4721514006
183	0.4718771352
184	0.4716775804
185	0.4714589683
186	0.4712390063
187	0.4709144488
188	0.4706146731
189	0.4704547486
190	0.4701259632
191	0.4699825044
192	0.4697106327
193	0.4695738952
194	0.4693330136
195	0.4691763308
196	0.4690149168
197	0.468824091
198	0.4686935554
199	0.4684585381
200	0.4682634417
201	0.4679254154
202	0.4677139086
203	0.467545026
204	0.4674547837
205	0.4671241166
206	0.4668369657
207	0.4666297535
208	0.4664237486
209	0.4660909097
210	0.4658960269
211	0.4655871862
212	0.4653875632
213	0.4651258197
214	0.4649480361
215	0.464811262
216	0.4646840782
217	0.4644909969
218	0.4643322994
219	0.4641035776
220	0.4638280512
221	0.4636696167
222	0.4635216068
223	0.4633351004
224	0.463186075
225	0.4629859759
226	0.4628138224
227	0.4626926333
228	0.4624717434
229	0.4622708898
230	0.4621207595
231	0.4619012984
232	0.4617344667
233	0.4615920986
234	0.4614313154
235	0.4613012287
236	0.4611347561
237	0.4610204558
238	0.4608253467
239	0.4606853895
240	0.4604955282
241	0.4603475746
242	0.4601661791
243	0.4599249825
244	0.4597464161
245	0.4595537494
246	0.4592704796
247	0.4590248	0.4248	0.4588249	0.249	0.45873250	0.4536216684
251	0.4534786922
252	0.4533337493
253	0.4531268373
254	0.4529745257
255	0.4528959006
256	0.4527513517
257	0.4525922113
258	0.4524160762
259	0.4522951586
260	0.4521691547
261	0.4519203285
262	0.4517025798
263	0.451529588
264	0.4513334491
265	0.4511394886
266	0.4509947074
267	0.4508250286
268	0.4506618264
269	0.4505474228
270	0.4503495124
271	0.4501941344
272	0.4499787946
273	0.4497764612
274	0.4496409471
275	0.4494328487
276	0.4492829162
277	0.449132867
278	0.4490519995
279	0.448860277
280	0.4487727358
281	0.4486501315
282	0.4484963157
283	0.4483932593
284	0.4481555516
285	0.4479608481
286	0.4477519336
287	0.4476237842
288	0.4474673298
289	0.4473428121
290	0.4471474079
291	0.4469505605
292	0.4467940193
293	0.4466764451
294	0.4464563005
295	0.4463799145
296	0.4462387983
297	0.4460369538
298	0.4458373256
299	0.4457214396
300	0.4455462775
301	0.4453331659
302	0.4451756717
303	0.4450197405
304	0.4448866189
305	0.4447542815
306	0.4446374997
307	0.4445762512
308	0.444463481
309	0.4443013795
310	0.4440718733
311	0.4439341992
312	0.4438509686
313	0.4437619186
314	0.4436914441
315	0.4434530824
316	0.4433403119
317	0.4431304551
318	0.4429904079
319	0.4428849476
320	0.4427767632
321	0.4426186913
322	0.4425186151
323	0.4423778226
324	0.4421834472
325	0.4420223187
326	0.4418318435
327	0.4416513844
328	0.441490959
329	0.4413830555
330	0.4412703708
331	0.4411093005
332	0.4410336877
333	0.4408027763
334	0.4406943072
335	0.4405785593
336	0.4404980668
337	0.4403889706
338	0.4402583504
339	0.44010855
340	0.4399893207
341	0.4398971594
342	0.4397831702
343	0.4397104242
344	0.4394931998
345	0.4393052084
346	0.4391903253
347	0.4390340203
348	0.4389018408
349	0.438733571
350	0.4386277762
351	0.4385105693
352	0.4383795461
353	0.4382680534
354	0.4380785273
355	0.4379329732
356	0.4377502244
357	0.4377009396
358	0.4376030545
359	0.4374608918
360	0.4373651377
361	0.4372809227
362	0.4370925326
363	0.4369820632
364	0.43680175365365	0.43667644366366	0.4365889367	367	0.4363992368	0.4379204731
369	0.437840569
370	0.4377571102
371	0.4376615957
372	0.4375258189
373	0.4374374115
374	0.4373156159
375	375	0.4353371376	0.4370750535
377	0.4369581801
378	0.4368377403
379	0.4366882457
380	0.4365796912
381	0.4364667389
382	0.4364043103
383	0.4363151358
384	0.436221399
385	0.4361010422
386	0.4359441183
387	0.4358228958
388	0.435734189
389	0.4355913433
390	0.4353599984
391	0.4352496447
392	0.4350312686
393	0.4349021792
394	0.4348068323
395	0.4347235552
396	0.434628942
397	0.434512563
398	0.4344289905
399	0.4343864965
400	0.4342862427
401	0.4341759562
402	0.4340784933
403	0.4340081216
404	0.4338661542
405	0.4337415678
406	0.4335730929
407	0.4334672313
408	0.4333927198
409	0.4333213068
410	0.4332313373
411	0.4331583428
412	0.433046894
413	0.4329347561
414	0.4328379038
415	0.4328009373
416	0.4326960652
417	0.4326525
418	0.4324753876
419	0.4323521296
420	0.4322725134
421	0.4321177816
422	0.4320104892
423	0.4318976456
424	0.4317854394
425	0.4317028371
426	0.4315656325
427	0.4314396444
428	0.4313691329
429	0.4312664837
430	0.4311380902
431	0.4309469836
432	0.4307990634
433	0.4306972679
434	0.4305281873
435	0.4303566448
436	0.4302482562
437	0.4301090142
438	0.4300240294
439	0.4299453978
440	0.4298960493
441	0.4297963749
442	0.4296864831
443	0.4295355066
444	0.4294723419
445	0.4293216178
446	0.4291802208
447	0.4291181604
448	0.4290431631
449	0.4289991199
450	0.4288939243
451	0.4287714057
452	0.4286853499
453	0.4286056978
454	0.4285143207
455	0.4284150538
456	0.4282882204
457	0.4281117206
458	0.428011709
459	0.4278824785
460	0.4277446061
461	0.4277055599
462	0.4275949245
463	0.4274809297
464	0.4274114219
465	0.4273357853
466	0.4272170217
467	0.42716073
468	0.4270718835
469	0.4269330041
470	0.4267927167
471	0.4267119447
472	0.4266434519
473	0.4265480239
474	0.4263974799
475	0.4263054946
476	0.4262064875
477	0.4260940795
478	0.425951549
479	0.4258636702
480	0.4257440877
481	0.425658799
482	0.4255503725
483	0.4253013616
484	0.4251863754
485	0.4250990567
486	0.4250314181
487	0.4248945638
488	0.4247464645
489	0.4246656212
490	0.4245547063
491	0.4244525894
492	0.4242932777
493	0.4242534732
494	0.4241487598
495	0.4240646009
496	0.4239285592
497	0.4238254482
498	0.423770661
499	0.4237173525
500	0.4235770679
501	0.423501944
502	0.4233585727
503	0.4232759786
504	0.4231090699
505	0.4230034078
506	0.4228999306
8
2738202
